,samples,PCR,RT
301,MAI1503A878,all,NT
302,MAI1503A879,all,NT
303,MAI1503A880,all,NT
304,MAI1503A881,all,NT
305,MAI1503A882,all,NT
306,MAI1503A883,all,NT
307,MAI1503A884,all,NT
308,MAI1503A885,all,NT
309,MAI1503A886,all,NT
310,MAI1503A887,all,NT
311,MAI1503A888,all,NT
312,MAI1503A889,all,NT
313,MAI1503A890,all,NT
314,MAI1503A891,all,NT
315,MAI1503A892,all,NT
316,MAI1503A893,all,NT
317,MAI1503A894,all,NT
318,MAI1503A895,all,NT
319,MAI1503A896,all,NT
320,MAI1503A897,all,NT
321,MAI1503A898,all,NT
322,MAI1503A899,all,NT
323,MAI1503A900,all,NT
324,MAI1503A901,all,NT
325,MAI1503A902,all,NT
326,MAI1503A903,all,NT
327,MAI1503A904,all,NT
328,MAI1503A905,all,NT
329,MAI1503A906,all,NT
330,MAI1503A907,all,NT
331,MAI1503A908,all,NT
332,MAI1503A909,all,NT
333,MAI1503A910,all,NT
334,MAI1503A911,all,NT
335,MAI1503A912,all,NT
336,MAI1503A913,all,NT
337,MAI1503A914,all,NT
338,MAI1503A915,all,NT
339,MAI1503A916,all,NT
340,MAI1503A917,all,NT
341,MAI1503A918,all,NT
342,MAI1503A919,all,NT
343,MAI1503A920,all,NT
344,MAI1503A921,all,NT
345,MAI1503A922,all,NT
346,MAI1503A923,all,NT
347,MAI1503A924,all,NT
348,MAI1503A925,all,NT
349,MAI1503A926,all,NT
350,MAI1503A927,all,NT
351,MAI1503A928,all,NT
352,MAI1503A929,all,NT
353,MAI1503A930,all,NT
354,MAI1503A931,all,NT
355,MAI1503A932,all,NT
356,MAI1503A933,all,NT
357,MAI1503A934,all,NT
358,MAI1503A935,all,NT
359,MAI1503A936,all,NT
360,MAI1503A937,all,NT
361,MAI1503A938,all,NT
362,MAI1503A939,all,NT
363,MAI1503A940,all,NT
364,MAI1503A941,all,NT
365,MAI1503A942,all,NT
366,MAI1503A943,all,NT
367,MAI1503A944,all,NT
368,MAI1503A945,all,NT
369,MAI1503A946,all,NT
370,MAI1503A947,all,NT
371,MAI1503A948,all,NT
372,MAI1503A949,all,NT
373,MAI1503A950,all,NT
374,MAI1503A951,all,NT
375,MAI1503A952,all,NT
376,MAI1503A953,all,NT
377,MAI1503A954,all,NT
378,MAI1503A955,all,NT
379,MAI1503A956,all,NT
380,MAI1503A957,all,NT
381,MAI1503A958,all,NT
382,MAI1503A959,all,NT
383,MAI1503A960,all,NT
