,Sample limsid,Sample Name,plate,well,384_plate
182,MAI1502A3255,index_set_183,2,H3,O6
183,MAI1502A3256,index_set_184,2,H4,O8
184,MAI1502A3257,index_set_185,2,H5,O10
185,MAI1502A3258,index_set_186,2,H6,O12
186,MAI1502A3259,index_set_187,2,H7,O14
187,MAI1502A3260,index_set_188,2,H8,O16
188,MAI1502A3261,index_set_189,2,H9,O18
189,MAI1502A3262,index_set_190,2,H10,O20
190,MAI1502A3263,index_set_191,2,H11,O22
191,MAI1502A3264,index_set_192,2,H12,O24
192,MAI1502A3265,index_set_193,3,A1,B1
193,MAI1502A3266,index_set_194,3,A2,B3
194,MAI1502A3267,index_set_195,3,A3,B5
195,MAI1502A3268,index_set_196,3,A4,B7
196,MAI1502A3269,index_set_197,3,A5,B9
197,MAI1502A3270,index_set_198,3,A6,B11
198,MAI1502A3271,index_set_199,3,A7,B13
199,MAI1502A3272,index_set_200,3,A8,B15
200,MAI1502A3273,index_set_201,3,A9,B17
201,MAI1502A3274,index_set_202,3,A10,B19
202,MAI1502A3275,index_set_203,3,A11,B21
203,MAI1502A3276,index_set_204,3,A12,B23
204,MAI1502A3277,index_set_205,3,B1,D1
205,MAI1502A3278,index_set_206,3,B2,D3
206,MAI1502A3279,index_set_207,3,B3,D5
207,MAI1502A3280,index_set_208,3,B4,D7
208,MAI1502A3281,index_set_209,3,B5,D9
209,MAI1502A3282,index_set_210,3,B6,D11
210,MAI1502A3283,index_set_211,3,B7,D13
211,MAI1502A3284,index_set_212,3,B8,D15
212,MAI1502A3285,index_set_213,3,B9,D17
213,MAI1502A3286,index_set_214,3,B10,D19
214,MAI1502A3287,index_set_215,3,B11,D21
215,MAI1502A3288,index_set_216,3,B12,D23
216,MAI1502A3289,index_set_217,3,C1,F1
217,MAI1502A3290,index_set_218,3,C2,F3
218,MAI1502A3291,index_set_219,3,C3,F5
219,MAI1502A3292,index_set_220,3,C4,F7
220,MAI1502A3293,index_set_221,3,C5,F9
221,MAI1502A3294,index_set_222,3,C6,F11
222,MAI1502A3295,index_set_223,3,C7,F13
223,MAI1502A3296,index_set_224,3,C8,F15
224,MAI1502A3297,index_set_225,3,C9,F17
225,MAI1502A3298,index_set_226,3,C10,F19
226,MAI1502A3299,index_set_227,3,C11,F21
227,MAI1502A3300,index_set_228,3,C12,F23
228,MAI1502A3301,index_set_229,3,D1,H1
229,MAI1502A3302,index_set_230,3,D2,H3
230,MAI1502A3303,index_set_231,3,D3,H5
231,MAI1502A3304,index_set_232,3,D4,H7
232,MAI1502A3305,index_set_233,3,D5,H9
233,MAI1502A3306,index_set_234,3,D6,H11
234,MAI1502A3307,index_set_235,3,D7,H13
235,MAI1502A3308,index_set_236,3,D8,H15
236,MAI1502A3309,index_set_237,3,D9,H17
237,MAI1502A3310,index_set_238,3,D10,H19
238,MAI1502A3311,index_set_239,3,D11,H21
239,MAI1502A3312,index_set_240,3,D12,H23
240,MAI1502A3313,index_set_241,3,E1,J1
241,MAI1502A3314,index_set_242,3,E2,J3
242,MAI1502A3315,index_set_243,3,E3,J5
243,MAI1502A3316,index_set_244,3,E4,J7
244,MAI1502A3317,index_set_245,3,E5,J9
245,MAI1502A3318,index_set_246,3,E6,J11
246,MAI1502A3319,index_set_247,3,E7,J13
247,MAI1502A3320,index_set_248,3,E8,J15
248,MAI1502A3321,index_set_249,3,E9,J17
249,MAI1502A3322,index_set_250,3,E10,J19
250,MAI1502A3323,index_set_251,3,E11,J21
251,MAI1502A3324,index_set_252,3,E12,J23
