,Sample limsid,Sample Name,plate,well,384_plate
132,MAI5081A1669,index_set_133,2,D1,G2
133,MAI5081A1670,index_set_134,2,D2,G4
134,MAI5081A1671,index_set_135,2,D3,G6
135,MAI5081A1672,index_set_136,2,D4,G8
136,MAI5081A1673,index_set_137,2,D5,G10
137,MAI5081A1674,index_set_138,2,D6,G12
138,MAI5081A1675,index_set_139,2,D7,G14
139,MAI5081A1676,index_set_140,2,D8,G16
140,MAI5081A1677,index_set_141,2,D9,G18
141,MAI5081A1678,index_set_142,2,D10,G20
142,MAI5081A1679,index_set_143,2,D11,G22
143,MAI5081A1680,index_set_144,2,D12,G24
144,MAI5081A1681,index_set_145,2,E1,I2
145,MAI5081A1682,index_set_146,2,E2,I4
146,MAI5081A1683,index_set_147,2,E3,I6
147,MAI5081A1684,index_set_148,2,E4,I8
148,MAI5081A1685,index_set_149,2,E5,I10
149,MAI5081A1686,index_set_150,2,E6,I12
150,MAI5081A1687,index_set_151,2,E7,I14
151,MAI5081A1688,index_set_152,2,E8,I16
152,MAI5081A1689,index_set_153,2,E9,I18
153,MAI5081A1690,index_set_154,2,E10,I20
154,MAI5081A1691,index_set_155,2,E11,I22
155,MAI5081A1692,index_set_156,2,E12,I24
156,MAI5081A1693,index_set_157,2,F1,K2
157,MAI5081A1694,index_set_158,2,F2,K4
158,MAI5081A1695,index_set_159,2,F3,K6
159,MAI5081A1696,index_set_160,2,F4,K8
160,MAI5081A1697,index_set_161,2,F5,K10
161,MAI5081A1698,index_set_162,2,F6,K12
162,MAI5081A1699,index_set_163,2,F7,K14
163,MAI5081A1700,index_set_164,2,F8,K16
164,MAI5081A1701,index_set_165,2,F9,K18
165,MAI5081A1702,index_set_166,2,F10,K20
166,MAI5081A1703,index_set_167,2,F11,K22
167,MAI5081A1704,index_set_168,2,F12,K24
168,MAI5081A1705,index_set_169,2,G1,M2
169,MAI5081A1706,index_set_170,2,G2,M4
170,MAI5081A1707,index_set_171,2,G3,M6
171,MAI5081A1708,index_set_172,2,G4,M8
172,MAI5081A1709,index_set_173,2,G5,M10
173,MAI5081A1710,index_set_174,2,G6,M12
174,MAI5081A1711,index_set_175,2,G7,M14
175,MAI5081A1712,index_set_176,2,G8,M16
176,MAI5081A1713,index_set_177,2,G9,M18
177,MAI5081A1714,index_set_178,2,G10,M20
178,MAI5081A1715,index_set_179,2,G11,M22
179,MAI5081A1716,index_set_180,2,G12,M24
180,MAI5081A1717,index_set_181,2,H1,O2
181,MAI5081A1718,index_set_182,2,H2,O4
182,MAI5081A1719,index_set_183,2,H3,O6
183,MAI5081A1720,index_set_184,2,H4,O8
184,MAI5081A1721,index_set_185,2,H5,O10
185,MAI5081A1722,index_set_186,2,H6,O12
186,MAI5081A1723,index_set_187,2,H7,O14
187,MAI5081A1724,index_set_188,2,H8,O16
188,MAI5081A1725,index_set_189,2,H9,O18
189,MAI5081A1726,index_set_190,2,H10,O20
190,MAI5081A1727,index_set_191,2,H11,O22
191,MAI5081A1728,index_set_192,2,H12,O24
192,MAI5081A1729,index_set_193,3,A1,B1
193,MAI5081A1730,index_set_194,3,A2,B3
194,MAI5081A1731,index_set_195,3,A3,B5
195,MAI5081A1732,index_set_196,3,A4,B7
196,MAI5081A1733,index_set_197,3,A5,B9
197,MAI5081A1734,index_set_198,3,A6,B11
198,MAI5081A1735,index_set_199,3,A7,B13
199,MAI5081A1736,index_set_200,3,A8,B15
200,MAI5081A1737,index_set_201,3,A9,B17
201,MAI5081A1738,index_set_202,3,A10,B19
202,MAI5081A1739,index_set_203,3,A11,B21
203,MAI5081A1740,index_set_204,3,A12,B23
204,MAI5081A1741,index_set_205,3,B1,D1
205,MAI5081A1742,index_set_206,3,B2,D3
206,MAI5081A1743,index_set_207,3,B3,D5
207,MAI5081A1744,index_set_208,3,B4,D7
208,MAI5081A1745,index_set_209,3,B5,D9
209,MAI5081A1746,index_set_210,3,B6,D11
210,MAI5081A1747,index_set_211,3,B7,D13
211,MAI5081A1748,index_set_212,3,B8,D15
212,MAI5081A1749,index_set_213,3,B9,D17
213,MAI5081A1750,index_set_214,3,B10,D19
214,MAI5081A1751,index_set_215,3,B11,D21
215,MAI5081A1752,index_set_216,3,B12,D23
216,MAI5081A1753,index_set_217,3,C1,F1
217,MAI5081A1754,index_set_218,3,C2,F3
218,MAI5081A1755,index_set_219,3,C3,F5
219,MAI5081A1756,index_set_220,3,C4,F7
220,MAI5081A1757,index_set_221,3,C5,F9
221,MAI5081A1758,index_set_222,3,C6,F11
222,MAI5081A1759,index_set_223,3,C7,F13
223,MAI5081A1760,index_set_224,3,C8,F15
224,MAI5081A1761,index_set_225,3,C9,F17
225,MAI5081A1762,index_set_226,3,C10,F19
226,MAI5081A1763,index_set_227,3,C11,F21
227,MAI5081A1764,index_set_228,3,C12,F23
228,MAI5081A1765,index_set_229,3,D1,H1
229,MAI5081A1766,index_set_230,3,D2,H3
230,MAI5081A1767,index_set_231,3,D3,H5
231,MAI5081A1768,index_set_232,3,D4,H7
232,MAI5081A1769,index_set_233,3,D5,H9
233,MAI5081A1770,index_set_234,3,D6,H11
234,MAI5081A1771,index_set_235,3,D7,H13
235,MAI5081A1772,index_set_236,3,D8,H15
236,MAI5081A1773,index_set_237,3,D9,H17
237,MAI5081A1774,index_set_238,3,D10,H19
238,MAI5081A1775,index_set_239,3,D11,H21
239,MAI5081A1776,index_set_240,3,D12,H23
240,MAI5081A1777,index_set_241,3,E1,J1
241,MAI5081A1778,index_set_242,3,E2,J3
242,MAI5081A1779,index_set_243,3,E3,J5
243,MAI5081A1780,index_set_244,3,E4,J7
244,MAI5081A1781,index_set_245,3,E5,J9
245,MAI5081A1782,index_set_246,3,E6,J11
246,MAI5081A1783,index_set_247,3,E7,J13
247,MAI5081A1784,index_set_248,3,E8,J15
248,MAI5081A1785,index_set_249,3,E9,J17
249,MAI5081A1786,index_set_250,3,E10,J19
250,MAI5081A1787,index_set_251,3,E11,J21
251,MAI5081A1788,index_set_252,3,E12,J23
252,MAI5081A1789,index_set_253,3,F1,L1
253,MAI5081A1790,index_set_254,3,F2,L3
254,MAI5081A1791,index_set_255,3,F3,L5
255,MAI5081A1792,index_set_256,3,F4,L7
256,MAI5081A1793,index_set_257,3,F5,L9
257,MAI5081A1794,index_set_258,3,F6,L11
258,MAI5081A1795,index_set_259,3,F7,L13
259,MAI5081A1796,index_set_260,3,F8,L15
260,MAI5081A1797,index_set_261,3,F9,L17
261,MAI5081A1798,index_set_262,3,F10,L19
262,MAI5081A1799,index_set_263,3,F11,L21
263,MAI5081A1800,index_set_264,3,F12,L23
264,MAI5081A1801,index_set_265,3,G1,N1
265,MAI5081A1802,index_set_266,3,G2,N3
266,MAI5081A1803,index_set_267,3,G3,N5
267,MAI5081A1804,index_set_268,3,G4,N7
268,MAI5081A1805,index_set_269,3,G5,N9
269,MAI5081A1806,index_set_270,3,G6,N11
270,MAI5081A1807,index_set_271,3,G7,N13
271,MAI5081A1808,index_set_272,3,G8,N15
272,MAI5081A1809,index_set_273,3,G9,N17
273,MAI5081A1810,index_set_274,3,G10,N19
274,MAI5081A1811,index_set_275,3,G11,N21
275,MAI5081A1812,index_set_276,3,G12,N23
276,MAI5081A1813,index_set_277,3,H1,P1
277,MAI5081A1814,index_set_278,3,H2,P3
278,MAI5081A1815,index_set_279,3,H3,P5
279,MAI5081A1816,index_set_280,3,H4,P7
280,MAI5081A1817,index_set_281,3,H5,P9
281,MAI5081A1818,index_set_282,3,H6,P11
282,MAI5081A1819,index_set_283,3,H7,P13
283,MAI5081A1820,index_set_284,3,H8,P15
284,MAI5081A1821,index_set_285,3,H9,P17
285,MAI5081A1822,index_set_286,3,H10,P19
286,MAI5081A1823,index_set_287,3,H11,P21
287,MAI5081A1824,index_set_288,3,H12,P23
288,MAI5081A1825,index_set_289,4,A1,B2
289,MAI5081A1826,index_set_290,4,A2,B4
290,MAI5081A1827,index_set_291,4,A3,B6
291,MAI5081A1828,index_set_292,4,A4,B8
292,MAI5081A1829,index_set_293,4,A5,B10
293,MAI5081A1830,index_set_294,4,A6,B12
294,MAI5081A1831,index_set_295,4,A7,B14
295,MAI5081A1832,index_set_296,4,A8,B16
296,MAI5081A1833,index_set_297,4,A9,B18
297,MAI5081A1834,index_set_298,4,A10,B20
298,MAI5081A1835,index_set_299,4,A11,B22
299,MAI5081A1836,index_set_300,4,A12,B24
300,MAI5081A1837,index_set_301,4,B1,D2
301,MAI5081A1838,index_set_302,4,B2,D4
302,MAI5081A1839,index_set_303,4,B3,D6
303,MAI5081A1840,index_set_304,4,B4,D8
304,MAI5081A1841,index_set_305,4,B5,D10
305,MAI5081A1842,index_set_306,4,B6,D12
306,MAI5081A1843,index_set_307,4,B7,D14
307,MAI5081A1844,index_set_308,4,B8,D16
308,MAI5081A1845,index_set_309,4,B9,D18
309,MAI5081A1846,index_set_310,4,B10,D20
310,MAI5081A1847,index_set_311,4,B11,D22
311,MAI5081A1848,index_set_312,4,B12,D24
312,MAI5081A1849,index_set_313,4,C1,F2
313,MAI5081A1850,index_set_314,4,C2,F4
314,MAI5081A1851,index_set_315,4,C3,F6
315,MAI5081A1852,index_set_316,4,C4,F8
316,MAI5081A1853,index_set_317,4,C5,F10
317,MAI5081A1854,index_set_318,4,C6,F12
318,MAI5081A1855,index_set_319,4,C7,F14
319,MAI5081A1856,index_set_320,4,C8,F16
320,MAI5081A1857,index_set_321,4,C9,F18
321,MAI5081A1858,index_set_322,4,C10,F20
322,MAI5081A1859,index_set_323,4,C11,F22
323,MAI5081A1860,index_set_324,4,C12,F24
324,MAI5081A1861,index_set_325,4,D1,H2
325,MAI5081A1862,index_set_326,4,D2,H4
326,MAI5081A1863,index_set_327,4,D3,H6
327,MAI5081A1864,index_set_328,4,D4,H8
328,MAI5081A1865,index_set_329,4,D5,H10
329,MAI5081A1866,index_set_330,4,D6,H12
330,MAI5081A1867,index_set_331,4,D7,H14
331,MAI5081A1868,index_set_332,4,D8,H16
332,MAI5081A1869,index_set_333,4,D9,H18
333,MAI5081A1870,index_set_334,4,D10,H20
334,MAI5081A1871,index_set_335,4,D11,H22
335,MAI5081A1872,index_set_336,4,D12,H24
336,MAI5081A1873,index_set_337,4,E1,J2
337,MAI5081A1874,index_set_338,4,E2,J4
338,MAI5081A1875,index_set_339,4,E3,J6
339,MAI5081A1876,index_set_340,4,E4,J8
340,MAI5081A1877,index_set_341,4,E5,J10
341,MAI5081A1878,index_set_342,4,E6,J12
342,MAI5081A1879,index_set_343,4,E7,J14
343,MAI5081A1880,index_set_344,4,E8,J16
344,MAI5081A1881,index_set_345,4,E9,J18
345,MAI5081A1882,index_set_346,4,E10,J20
346,MAI5081A1883,index_set_347,4,E11,J22
347,MAI5081A1884,index_set_348,4,E12,J24
348,MAI5081A1885,index_set_349,4,F1,L2
349,MAI5081A1886,index_set_350,4,F2,L4
350,MAI5081A1887,index_set_351,4,F3,L6
351,MAI5081A1888,index_set_352,4,F4,L8
352,MAI5081A1889,index_set_353,4,F5,L10
353,MAI5081A1890,index_set_354,4,F6,L12
354,MAI5081A1891,index_set_355,4,F7,L14
355,MAI5081A1892,index_set_356,4,F8,L16
356,MAI5081A1893,index_set_357,4,F9,L18
357,MAI5081A1894,index_set_358,4,F10,L20
358,MAI5081A1895,index_set_359,4,F11,L22
359,MAI5081A1896,index_set_360,4,F12,L24
360,MAI5081A1897,index_set_361,4,G1,N2
361,MAI5081A1898,index_set_362,4,G2,N4
362,MAI5081A1899,index_set_363,4,G3,N6
363,MAI5081A1900,index_set_364,4,G4,N8
364,MAI5081A1901,index_set_365,4,G5,N10
365,MAI5081A1902,index_set_366,4,G6,N12
366,MAI5081A1903,index_set_367,4,G7,N14
367,MAI5081A1904,index_set_368,4,G8,N16
368,MAI5081A1905,index_set_369,4,G9,N18
369,MAI5081A1906,index_set_370,4,G10,N20
370,MAI5081A1907,index_set_371,4,G11,N22
371,MAI5081A1908,index_set_372,4,G12,N24
372,MAI5081A1909,index_set_373,4,H1,P2
373,MAI5081A1910,index_set_374,4,H2,P4
374,MAI5081A1911,index_set_375,4,H3,P6
375,MAI5081A1912,index_set_376,4,H4,P8
376,MAI5081A1913,index_set_377,4,H5,P10
377,MAI5081A1914,index_set_378,4,H6,P12
378,MAI5081A1915,index_set_379,4,H7,P14
379,MAI5081A1916,index_set_380,4,H8,P16
380,MAI5081A1917,index_set_381,4,H9,P18
381,MAI5081A1918,index_set_382,4,H10,P20
382,MAI5081A1919,index_set_383,4,H11,P22
383,MAI5081A1920,index_set_384,4,H12,P24
